tutorialarea_shop_title,売りもの一覧
word_currencyGuidelines,サービス内通貨ガイドライン
word_cv,CV
word_day,日
word_dayNumber,{0}日目
word_dateFormat_MMDDHHmm,MM/dd HH:mm
word_dateFormat_MD,M月d日
word_dateFormat_yyyyMMDD,yyyy/MM/dd
word_dateFormat_yyyyMMDDHHmm,yyyy/MM/dd HH:mm
word_default,デフォルト
word_defaultButton,デフォルト\nに戻す
word_degree,称号
ward_detail,詳細
word_downloadingData,NOW LOADING
word_encoreButtonLabel,もう１回ライブ
word_entry,エントリー
word_entryUserId,エントリー用プレイヤーID
word_equip_costume,衣装設定中
word_expire,{0} まで
word_exOk,OK!
word_exp,EXP
word_eventHighScore,イベントハイスコア
word_eventScore,イベントスコア
word_event_item_badge_count,個
word_favoriteFood,好きな食べ物
word_free,無償
word_friend,フレンド
word_alreadyInviteFriend,招待中
word_friendInvitation,フレンド招待
word_friendInvitationRoom,フレンド招待ルーム
word_friendRelease,フレンド解除
word_friendRequest,フレンド申請
word_fullVoice,フルボイス
word_getCP,獲得チャレンジP
word_getExp,獲得EXP
word_hatefulFood,嫌いな食べ物
word_have,所持
word_haveCP,所持チャレンジP
word_haveStar,所持スター
word_highScore,ハイスコア
word_highScoreRating,ハイスコアレーティング
word_hour,時間
word_hobby,趣味
word_howToGet,解放条件
word_mainItem,主要
word_idSearch,ID検索
word_item,アイテム
word_itemCount,{0} x {1}
word_lastLoginAt,最終ログイン
word_lastLoginAtTime,最終ログイン時間
word_leader,リーダー
word_level,レベル
word_levelAndNum,レベル {0}
word_levelUp,レベルアップ
word_life,ライフ
word_liveBoost,ライブブースト
word_liveBoost_limitFormat,/{0}
word_liveBoost_recoveryTimeNone,-- : --
word_liveReward,ライブ報酬
word_liveSetting,ライブ設定
word_liveStart,ライブスタート！
word_lv,Lv.
word_mainBandTotalParam,メインバンド総合力
word_max,MAX
word_medalUnit,枚
word_memberExp,メンバーEXP
word_memberUnit,{0}人
word_michelleSeal,ミッシェルシール
word_michelleUnit,{0}枚
word_minute,分
word_modeNormal,通常
word_modeEvent,イベント
word_modeSpecial,特別
word_moreThan,以上
word_music,楽曲
word_musicTag_cover,カバー
word_musicTag_original,オリジナル
word_musicLevel,楽曲レベル
word_nothing,なし
word_notPublish,非公開
word_off,OFF
word_on,ON
word_open,開放
word_other,その他
word_p,P
word_paid,有償
word_paidstar,有償スター
word_part,パート
word_percentage,%
word_place,会場
word_playDate,プレイ日時
word_player,プレイヤー
word_playerId,プレイヤーID
word_possessionChallengeP,所持チャレンジP
word_possessionMedalFormat,所持{0}
word_practiceTicket,練習チケット
word_private,プライベート
word_privateUnlockFinish,ルーム開放済
word_putItem,設置
word_qualificationtTotalHighScore,合計予選ハイスコア
word_qualificationtHighScore,予選ハイスコア
word_qualificationtSecondScore,本予選スコア
word_randomSelect,おまかせ
word_rankExp,ランクEXP
word_rankGrade,位
word_rankGradeFromAtoB,{0}〜{1}位
word_ranking,ランキング
word_readyOk,準備完了！
word_recommend,おすすめ
word_recommendDeck,おすすめ編成
word_remain,残り
word_require,必要
word_requireItem,必要アイテム
word_requestCancel,申請取り消し
word_reset,リセット
word_rest,あと
word_reward,報酬
word_rewardList,報酬一覧
word_rewardItemName,獲得アイテム名
word_rule,ルール
word_unlock_room,ルーム開放
word_unlock_room_finish,ルーム開放済み
word_school,学校
word_school_middle,中学
word_school_high,高校
word_schoolYear,学年
word_schoolYearSuffix,年生
word_secret,???
word_selfIntroduction,自己紹介
word_score,スコア
word_scoreRank,スコアランク
word_second,秒
word_select,選択
word_selected,選択中
word_skill,スキル
word_setting,設定
word_shop,ショップ
word_skillLevel,スキルLv.
word_sort_createdAt,入手順
word_sort_level,レベル
word_sort_paramSumDetail,総合力詳細
word_sort_paramSum,総合力
word_sort_paramPerformance,パフォーマンス
word_sort_paramTechnique,テクニック
word_sort_paramVisual,ビジュアル
word_sort_rarity,レアリティ
word_sort_skillLevel,スキルLv.
word_specifiedCommercialTransactionLaw,特定商取引法に基づく表記
word_spend,消費
word_spendNo,消費なし
word_star,スター
word_starCount,スター x {0}
word_starShop,スターショップ
word_start,開始
word_stamp,スタンプ
word_stampRare,レアスタンプ
word_targetMusic,対象楽曲
word_targetScore,目標スコア
word_times,倍!
word_times_simple,倍
word_toNext,次へ
word_top,TOP
word_total,合計
word_totalScore,トータルスコア
word_training,特訓
word_until,まで
word_untilExchange,まで交換可能
word_updateHighscore,ハイスコア更新!
word_usedCard,設定中
word_waitEnterRoom,入室待ち
